Sl. No,State/UT,2016,2017,2018,2019,2020
1,Andhra Pradesh,994,988,971,1086,1095
2,Arunachal Pradesh,92,59,67,63,60
3,Assam,1779,1772,1648,1773,1657
4,Bihar,1008,605,651,730,806
5,Chhattisgarh,1626,1908,2091,1036,1210
6,Goa,61,76,61,72,60
7,Gujarat,982,477,553,528,486
8,Haryana,1187,1099,1296,1480,1373
9,Himachal Pradesh,252,249,344,359,331
10,Jharkhand,1109,914,1090,1416,1321
11,Karnataka,1655,546,492,505,504
12,Kerala,1656,2003,1945,2023,637
13,Madhya Pradesh,4882,5562,5433,2485,2339
14,Maharashtra,4189,1933,2142,2299,2061
15,Manipur,55,40,52,36,32
16,Meghalaya,190,119,87,102,67
17,Mizoram,23,25,50,42,33
18,Nagaland,26,10,10,8,4
19,Odisha,1983,2070,918,1382,1211
20,Punjab,838,530,831,1002,502
21,Rajasthan,3656,3305,4335,5997,5310
22,Sikkim,92,17,16,11,12
23,Tamil Nadu,319,283,331,362,389
24,Telangana,1278,552,606,873,764
25,Tripura,207,95,97,88,79
26,Uttar Pradesh,4816,4246,3946,3065,2769
27,Uttarakhand,336,374,561,526,487
28,West Bengal,1110,1084,1069,1068,1128
Total State (S),Total State (S),36401,30941,31693,30417,26727
29,A&N Islands,30,13,30,13,2
30,Chandigarh,68,65,86,112,60
31,Dadra and Nagar Haveli and Daman and Diu,26,8,10,4,4
32,Delhi,2155,1229,1215,1253,997
33,Jammu and Kashmir,256,296,320,223,243
34,Ladakh,NA,NA,NA,NA,2
35,Lakshadweep,5,0,2,0,3
36,Puducherry,6,7,0,10,8
Total UT(S),Total UT(S),2546,1618,1663,1615,1319
Total (All India),Total (All India),38947,32559,33356,32032,28046
